City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
59,Wanning,CN,2022-07-28 19:40:27,scattered clouds,18.8003,110.3967,79.54,85,30,5.95
60,Mananara,MG,2022-07-28 19:40:28,light rain,-16.1667,49.7667,66.09,94,58,4.59
61,Haines Junction,CA,2022-07-28 19:40:28,overcast clouds,60.7522,-137.5108,60.75,59,100,2.3
62,Syamzha,RU,2022-07-28 19:40:29,moderate rain,60.0158,41.0614,62.22,98,71,3.51
63,New Norfolk,AU,2022-07-28 19:40:29,light rain,-42.7826,147.0587,40.71,84,7,1.01
64,Biloela,AU,2022-07-28 19:40:29,clear sky,-24.4167,150.5,47.66,72,0,5.53
65,Vao,NC,2022-07-28 19:40:30,overcast clouds,-22.6667,167.4833,69.03,66,100,12.41
66,Moree,AU,2022-07-28 19:40:30,clear sky,-29.4667,149.85,42.24,83,0,7.23
67,Saldanha,ZA,2022-07-28 19:40:31,few clouds,-33.0117,17.9442,59.05,87,14,11.16
68,Alyangula,AU,2022-07-28 19:40:31,broken clouds,-13.8483,136.4192,67.66,81,71,10.02
69,Sao Felix Do Xingu,BR,2022-07-28 19:38:02,few clouds,-6.6447,-51.995,93.6,23,14,2.64
70,Barrow,US,2022-07-28 19:38:33,light snow,71.2906,-156.7887,33.4,99,100,12.33
71,Xuanzhou,CN,2022-07-28 19:40:32,overcast clouds,30.9525,118.7553,75.0,85,100,2.01
72,Hami,CN,2022-07-28 19:40:32,scattered clouds,42.8,93.45,86.86,11,46,14.61
73,Bermeo,ES,2022-07-28 19:40:32,overcast clouds,43.4209,-2.7215,71.8,73,94,1.77
74,Santa Cruz,BO,2022-07-28 19:40:33,scattered clouds,-17.8,-63.1667,87.85,45,40,23.02
75,Upernavik,GL,2022-07-28 19:40:33,overcast clouds,72.7868,-56.1549,43.05,69,100,5.75
76,Juegang,CN,2022-07-28 19:40:34,clear sky,32.3174,121.1855,82.9,95,0,9.62
77,Sergeyevka,KZ,2022-07-28 19:40:34,overcast clouds,53.88,67.4158,60.93,97,100,11.52
78,Inhambane,MZ,2022-07-28 19:40:34,clear sky,-23.865,35.3833,63.57,72,0,3.69
79,La Paz,BO,2022-07-28 19:40:35,scattered clouds,-16.5,-68.15,67.98,10,40,4.61
80,Rakkestad,NO,2022-07-28 19:40:35,few clouds,59.4251,11.3454,63.66,67,15,2.08
81,Ponta Do Sol,PT,2022-07-28 19:40:35,clear sky,32.6667,-17.1,75.7,81,1,2.93
82,Angoche,MZ,2022-07-28 19:40:36,light rain,-16.2325,39.9086,69.31,81,31,8.63
83,Manaus,BR,2022-07-28 19:39:55,scattered clouds,-3.1019,-60.025,93.7,49,40,5.75
84,Mahebourg,MU,2022-07-28 19:38:15,broken clouds,-20.4081,57.7,70.25,78,75,6.91
85,Korla,CN,2022-07-28 19:40:36,overcast clouds,41.7597,86.1469,90.88,16,99,15.79
86,Beidao,CN,2022-07-28 19:40:37,clear sky,34.5686,105.8933,65.93,69,1,2.95
87,San Patricio,US,2022-07-28 19:40:37,broken clouds,28.017,-97.5169,98.17,41,61,18.86
88,Airai,TL,2022-07-28 19:40:37,broken clouds,-8.9266,125.4092,51.17,80,76,3.85
89,Nikolskoye,RU,2022-07-28 19:40:38,overcast clouds,59.7035,30.7861,61.81,78,100,3.74
90,Longjiang,CN,2022-07-28 19:40:38,moderate rain,47.3303,123.1836,67.3,97,100,4.34
