City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Changde,CN,2022-07-27 22:03:14,29.0464,111.6783,77.77,89,100,3.98
1,Menongue,AO,2022-07-27 22:03:14,-14.6585,17.691,54.63,33,49,5.14
2,Vaini,TO,2022-07-27 21:58:11,-21.2,-175.2,77.16,88,40,9.22
3,Anshun,CN,2022-07-27 22:03:15,26.25,105.9333,66.16,89,100,1.68
4,Georgetown,MY,2022-07-27 21:56:17,5.4112,100.3354,79.9,91,20,2.3
5,Souillac,MU,2022-07-27 22:03:15,-20.5167,57.5167,68.38,83,75,8.05
6,Valle Hermoso,MX,2022-07-27 22:03:16,25.6667,-97.8333,94.86,47,100,16.78
