City_ID,City,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
388,Broken Hill,-31.95,141.4333,scattered clouds,46.49,51,49,7.31,AU,2022-07-28 16:50:31
389,Pirgos,35.1167,25.7178,clear sky,82.62,52,0,2.66,GR,2022-07-28 16:50:32
390,Gryfino,53.2524,14.4883,broken clouds,71.53,48,82,6.4,PL,2022-07-28 16:50:32
391,Gigmoto,13.7796,124.39,moderate rain,80.96,84,99,4.7,PH,2022-07-28 16:50:32
392,Cardston,49.2,-113.3019,clear sky,75.49,56,2,2.3,CA,2022-07-28 16:49:12
393,Northam,51.0333,-4.2167,scattered clouds,69.26,78,40,9.37,GB,2022-07-28 16:50:33
394,Necochea,-38.5473,-58.7368,overcast clouds,49.39,78,86,25.05,AR,2022-07-28 16:50:33
395,Chaumont,48.1167,5.1333,overcast clouds,77.85,24,96,10.74,FR,2022-07-28 16:50:34
396,Punto Fijo,11.6956,-70.1996,overcast clouds,85.24,61,87,21.12,VE,2022-07-28 16:50:34
397,Sinop,41.7711,34.8709,clear sky,70.23,86,0,4.12,TR,2022-07-28 16:49:22
398,Olafsvik,64.8945,-23.7142,overcast clouds,49.19,82,100,10.65,IS,2022-07-28 16:50:35
399,Ust-Nera,64.5667,143.2,broken clouds,58.84,60,54,5.14,RU,2022-07-28 16:50:35
400,Curvelo,-18.7564,-44.4308,few clouds,82.76,24,23,3.89,BR,2022-07-28 16:50:35
401,Parker,32.7668,-97.8003,scattered clouds,97.99,42,27,1.99,US,2022-07-28 16:47:16
402,Chamonix-Mont-Blanc,45.9238,6.8693,overcast clouds,74.19,71,99,3.67,FR,2022-07-28 16:50:36
403,La Ronge,55.1001,-105.2842,few clouds,71.85,37,20,2.3,CA,2022-07-28 16:50:36
404,Kindu,-2.95,25.95,overcast clouds,79.57,60,100,5.57,CD,2022-07-28 16:50:37
405,Boende,-0.2167,20.8667,light rain,74.46,86,100,3.65,CD,2022-07-28 16:50:37
406,Kuah,6.3265,99.8432,moderate rain,82.38,89,40,2.3,MY,2022-07-28 16:50:37
407,Touros,-5.1989,-35.4608,few clouds,82.26,66,16,17.58,BR,2022-07-28 16:46:04
408,Hervey Bay,-25.2986,152.8535,clear sky,53.02,85,0,3.0,AU,2022-07-28 16:50:38
409,Prigorodka,52.0447,39.7124,broken clouds,77.0,77,76,5.41,RU,2022-07-28 16:50:38
410,Rengo,-34.4167,-70.8667,clear sky,53.92,44,0,5.5,CL,2022-07-28 16:50:39
411,Loncoche,-39.3667,-72.6333,clear sky,53.13,68,9,2.91,CL,2022-07-28 16:50:39
412,Guanare,9.0418,-69.7421,broken clouds,86.45,59,52,3.62,VE,2022-07-28 16:51:39
413,Vargem Grande,-3.5431,-43.9158,scattered clouds,85.51,55,43,4.88,BR,2022-07-28 16:51:40
414,Lahat,-3.8,103.5333,overcast clouds,75.9,85,100,1.95,ID,2022-07-28 16:51:40
415,Luderitz,-26.6481,15.1594,few clouds,55.49,86,17,0.89,NA,2022-07-28 16:51:40
